Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
1053,"Goertz, Beate",Germany,Female,F50-54,09:46:02,374.0,31.0,1.0,01:09:05,1094.0,197.0,6.0,05:02:31,375.0,23.0,1.0,03:28:28,411.0,48.0,1.0,00:2:58,329.0,76.0,1.0,00:3:00,162.0,62.0,2.0,FIN,08:50:25,50.0,1.0,1.0
1345,"Dommer, Janette",Denmark,Female,F45-49,09:45:44,372.0,30.0,1.0,01:02:45,575.0,91.0,9.0,05:11:32,605.0,37.0,1.0,03:25:27,348.0,40.0,3.0,00:3:02,354.0,82.0,3.0,00:2:58,147.0,55.0,4.0,FIN,09:14:41,217.0,2.0,1.0
806,"Fullen, Gillian",United Kingdom,Female,F55-59,10:45:11,1015.0,118.0,1.0,01:15:40,1575.0,338.0,12.0,05:41:40,1289.0,158.0,1.0,03:40:30,714.0,93.0,1.0,00:3:30,638.0,138.0,3.0,00:3:51,531.0,157.0,3.0,FIN,09:19:03,261.0,3.0,1.0
2217,"Purbrook, Ruth",United Kingdom,Female,F30-34,09:20:06,155.0,17.0,1.0,01:01:22,458.0,69.0,11.0,04:55:27,227.0,14.0,1.0,03:17:45,214.0,22.0,5.0,00:2:35,164.0,42.0,4.0,00:2:57,139.0,53.0,11.0,FIN,09:20:06,275.0,4.0,1.0
1406,"Villa, Elisabetta",Italy,Female,F45-49,09:55:51,493.0,41.0,2.0,01:13:07,1406.0,295.0,39.0,05:19:45,812.0,52.0,4.0,03:16:56,202.0,21.0,1.0,00:3:14,460.0,103.0,6.0,00:2:49,90.0,34.0,3.0,FIN,09:24:16,332.0,5.0,
1366,"Kukrus, Valentina",Russian Federation,Female,F45-49,09:59:46,538.0,46.0,3.0,01:06:25,905.0,142.0,12.0,05:28:09,1006.0,79.0,8.0,03:17:58,218.0,23.0,2.0,00:3:34,690.0,153.0,12.0,00:3:40,454.0,135.0,13.0,FIN,09:27:58,376.0,6.0,
662,"Mitchell, Mary",Australia,Female,F60-64,11:47:17,1515.0,296.0,1.0,01:20:39,1820.0,432.0,11.0,06:10:20,1711.0,341.0,4.0,04:09:23,1294.0,259.0,2.0,00:3:07,390.0,87.0,1.0,00:3:48,510.0,150.0,1.0,FIN,09:28:43,388.0,7.0,1.0
1047,"Enslin, Michelle",South Africa,Female,F50-54,10:31:51,876.0,86.0,2.0,01:10:00,1190.0,220.0,7.0,05:33:50,1124.0,109.0,4.0,03:40:51,725.0,95.0,2.0,00:3:53,890.0,196.0,11.0,00:3:17,268.0,92.0,4.0,FIN,09:31:53,432.0,8.0,
1336,"Barclay, Natasja",New Zealand,Female,F45-49,10:06:23,610.0,51.0,4.0,00:59:36,356.0,51.0,1.0,05:27:01,973.0,71.0,6.0,03:31:49,485.0,56.0,4.0,00:3:51,870.0,190.0,20.0,00:4:06,643.0,184.0,21.0,FIN,09:34:14,469.0,9.0,
2222,"Schut, Kirsten",South Africa,Female,F30-34,09:34:47,268.0,25.0,2.0,01:03:24,654.0,104.0,15.0,05:09:46,560.0,33.0,3.0,03:14:09,152.0,16.0,2.0,00:3:45,798.0,170.0,27.0,00:3:43,482.0,144.0,29.0,FIN,09:34:47,473.0,10.0,
